title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
Scam Air,Shanghai,Toronto,International,"The flight was cancelled due to the weather in Seul. The staff refused to change reservations and book any alternative flights for anyone. Everyone was stranded at the airport and staff didn't care. The refund offered by the airline was 10% of the original price of the ticket.

Feels like beins SCAMMED by this airline",November 2024,"November 29, 2024",1.0,,,,1.0,1.0,,,
South Korean airlines incompetence and race-based preference.,San Francisco,Manila,International,"I'm writing this review after the cancellation that Korean Air refused to give the passengers on KE623 a reason for. We had watched many domestic passengers able to fly but the flights to Manila and Hong Kong were canceled. A passenger on the Hong Kong flight was told by the attendance that it was mismanagement that caused it. We were stuck taxing for 4 hours without any explanation. When we arrived in the airport they kept changing our gate and saying that we were going to leave and had us run across the airport many of the people on the flight were elderly or with elders. They refuse to provide any explanation they told all passengers that they had to go to the the travel desk to get their arrangements changed. However once you arrived the desk was closed and the wait for that line was 8 to 12 hours. When we brought up the fact that it should be on their side to rebook an entire flight. They were hostile and refused to make any accommodations although this was on their side. At one point one of the agents decided to square up or a cost one of the American passengers. If it wasn't for the group of Filipinos Americans and other nationalities standing there behind this man we do strongly believe he would have started a fight The American had not done anything to deserve this he was not being threatening he was reminding the agent of the duties the airlines had for their clients. When we decided to take pictures and record he got very aggressive and started taking pictures of passengers. We had to go to another agent to let them know what was happening and nothing was done he was just moved to another area. When we brought up the fact that we have no place to sleep we cannot leave the airport we are entitled to some kind of compensation such as food vouchers and hotel those simple requests that are met by most if not all airports were on deaf ears. The agent was saying that he doesn't speak English but was interpreting and speaking very well it was just an excuse to try to push us away. If this is the welcome that a Korean airlines has for foreigners within Korea I think that that was the last time I will be going to Korea. It is embarrassing for The nation of Korea to welcome your foreign guests with such hostility and such a lack of courtesy, consideration, and adherence to their own policies. I would strongly recommend anyone to travel with any airlines other than Korean Air. Smaller regional airlines have done far more than Korean Air attempted to do. It was apparent that no one wanted to make a decision and the airlines refuse to have anybody of value working during the busy time. We had to wait until the lead got on the clock for anything to happen. All the agents kept saying they couldn't do anything until the lead came on and finally they started to rebook people. However the rebooking seemed to be preferential and was not consistent and still required each individual passenger to make the change rather than the airlines accommodating due to their poor management. I would have imagined that an international airport would have at least employed some translators to avoid this type of mess however I don't think that would have made a difference given the attendance actually were really good with English. Rather than try to claim accountability they found every which way to avoid responsibility for their mistake. Even as the weather cleared up they did not have any planes ready for the Philippines or Hong Kong however the korean-based flights were all continuing. I am not sure if this was a result of Korean airs fiasco in the Philippines on November 18 when they ran one of the airplanes off the Manila runway. Truth be told if they had made some form of accommodation for the passengers they had stranded I would not have been writing this review. They gave all of the food vouchers minutes before the flight took off as an attempt to prevent anyone from purchasing any food and the vouchers would be useless. They did not give any hotel vouchers for the hotels in the airport. Which is what they have on their own agreement. They were trying to play on the ignorance of their passengers rather than accept the responsibility and claim culpability in the mistake that they had created themselves. I know that Korea is not new to snow and this was something I'm having a hard time placing as anything other than racially based. Their treatment towards the Filipinos was abhorrent and downright disgusting. I really had higher expectations for this airline however I will never be traveling with them and really question if I would want to go to South Korea ever again. For the passengers that were protecting the Korean Air name I feel some consideration should have been given especially since we had gone to other agents to tell them that their ticket agent there was threatening passengers.",November 2024,"November 29, 2024",1.0,,,,,,,,
"Impossibly terrible management during crisis. Shame, because good on boardm service!",Seoul,Toronto,International,"Have flown Korean Air before and had great experiences, but this flight experience was appalling.
The flight was delayed due to weather, fine. This is unavoidable and an important safety feature (37 hours is a little too long though!). HOWEVER, their handling of the emergency was disastrous and dangerous.

We sit on the tarmac for 7 hours, get off the plane with NO direction, eventually find the transfer desk.
Get given a ticket with a scribbled on number (am I at a deli?) and told to wait. They get through 60 people in about 13 hours (I was number #263) and then they close the desk outright for 6 hours. I sleep on the floor.
Note; NO HOTEL, WATER, FOOD, OR COMPENSATION WAS OFFERED.

I wake up and stand at the desk again. After waiting two hours and passengers literally fighting (punches thrown, shirts pulled) and screaming at each other for service, I eventually get a reprinted ticket. Good on-board service, good product. But management during this emergency was tragic. Like they were the first ever flight cancellation in history and no-one knew what to do.

Completely unacceptable.",November 2024,"November 29, 2024",1.0,5.0,4.0,5.0,1.0,3.0,4.0,1.0,4.0
Refund needed !,San Francisco,Chiang Mai,International,"I am writing to formally express my disappointment and frustration with the service I received during a recent trip, and to request a refund for a cancelled flight.

My flight with Korean Air was canceled due to weather conditions, and while I understand that safety must take precedence, the handling of the situation was unacceptable. Despite the flight being delayed by 45 minutes, there was no communication about the cancellation of my connecting flight, even though your flight attendants were aware of the itinerary. Additionally, Korean Air had advance knowledge of the severe snowstorm—one of the largest in years—but failed to plan or inform passengers adequately.

The lack of updates while we circled the runway for over three hours, combined with the unhelpful and often rude treatment at ticketing counters, only worsened the situation. Many passengers, including myself, were left to find alternative travel arrangements on our own. I had to purchase a 24-hour ticket to Malaysia at my own expense, costing over $1,000 USD, to reach my final destination in Chiang Mai, Thailand.

I was further frustrated by Korean Air’s refusal to offer a refund for the cancelled flight, despite Department of Transportation guidelines that require airlines to provide refunds in such circumstances. This lack of accountability and assistance during a crisis left me feeling abandoned and undervalued as a customer.

I am not seeking compensation for the missed hotel stays or excursions; I simply ask for a refund of the ticket cost for the cancelled flight. I believe this is a fair request given the circumstances and aligns with the basic standards of customer service and regulatory compliance.",November 2024,"November 28, 2024",1.0,,,,,,,,
The most frustrating experience I have ever had with an airline,Osaka,Seoul,North Asia,"We experienced a flight cancellation due to weather and snowfall in Seoul. After waiting in line to try and rebook a new flight, we were told there are no available seats on any flights to Seoul for the next 4 days. Despite flights leaving for Seoul there was no attempt to rebook the affected passengers. The service desk representatives were not helpful at all. We will now miss our connecting flight home to New Zealand out of Seoul. The only option is refund. I don’t understand why Korean air cannot put on a new flight for impacted customers. It’s a very frustrating experience as we booked these flights over 8 months ago!",October 2024,"November 28, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fck Korean Air Team!!! They are unimaginable!!!,Seoul,Las Vegas,International,"Writing this now 6:38pm 11/28/24 at ICN airport, and we’ve been here since yesterday 4:30am 11/27/24. Our supposed flight to Las Vegas last night was cancelled and their management did not even arrange any compensation such as food or accommodation!! I am with my senior citizen mother only got 2 sets of maintenance medicine in her carry on luggage, the rest are in the checked baggage. So now, we do not know what to do, we got no sleep and our money is now limited. Their effin Korean Air staff and airport personnel can’t provide us concrete plans and answers. Aside form the language barrier (because of their limited English), they are VERY SLOW in thinking of solutions and systems!!! Imagine our struggle! They are asking us to come back in line to talk to Korean Air desk tomorrow at 9am, that’s our 3rd day already here and the airport’s in total chaos! The passengers are all angry but they’re not doing anything to comfort us!!! F them!!!",November 2024,"November 27, 2024",1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
Bad Services at Incheon Airport,Seoul,Ho Chi Minh City,Southeast Asia,"I got an awful, horrible experience with their customer services in the airport.  The whole system was broken down to support their customers. Thousands of people got stuck in the airport for a few days without any support of basic of foods and drinks, and no priority for kids and seniors.",November 2024,"November 27, 2024",1.0,,,,,,,,
Do not,Seoul,Honolulu,International,"Chaotic management no responsibility
Worse than European airlines
Never taking this airline ever again
No compensation and they will claim everything weather",November 2024,"November 27, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Horrible Korean airline,Bangkok,Vancouver,International,"Horrible airline. They canceled the flights. Let us know few hours before. Didn't do anything to help us. Didn't organize alternate flights, Didn't get us any hotel or even food or water. Never ever use Korean airlines.",November 2024,"November 27, 2024",1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0
Comfortable flight and good service,Boston,Seoul,International,"Comfortable and uneventful flight. The flight attendants were particularly proactively attentive on our flight back. We had a seat issue - they replaced the cushion! The Korean part of the menu flying over was very tasty but a dietary restriction left me a little stranded with the unexpectedly Westernized food coming back, so they figured out what parts of the set meal I could eat and doubled me up and that and kept checking in on me to make sure I wasn't going hungry :)",September 2024,"November 27, 2024",4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0
Worst travel experience,Amman,Seoul,International,"My trip was delayed for 12 hours and they refused to hold responsibility, they didn’t even offer a meal. Just left me at the airport waiting and whenever I tried to talk to them they just gave excuses. Even when I send a feedback email after I arrived home they continue to give poor excuses",October 2024,"November 25, 2024",1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Good overall experience,London,Seoul,International,"Good check in experience in London. Slightly old plane, but clean and well spaced seats with plenty of legroom for taller people. Friendly, helpful staff but disappointed that my meal choice (bebimbap) had run out. How can Korean Air run out of bebimbap?!

Good entertainment system.

Price used to include a checked bag and pre-reserved seats, but now they are charging for seats so we're much less likely to fly Korean Air as their prices from London are a bit steep.",December 2023,"November 17, 2024",4.0,5.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0
Disappointing Experience with Korean Air at San Francisco Airport and Incheon,San Francisco,Seoul,International,"I recently had a highly unsatisfactory experience with Korean Air during my travel from San Francisco to Bangkok, via Seoul. Due to a last-minute emergency, I was unable to complete the final leg of my journey from Seoul to Chiang Mai. However, the lack of flexibility displayed by Korean Air was disheartening. I was forced to cancel my entire ticket and purchase a new one-way ticket to Bangkok, costing me an additional $1,200.

The customer service was far from empathetic. I was not informed at booking that not completing the last leg of my journey would necessitate such a drastic measure and financial penalty. This lack of communication and the inflexible policies imposed a significant financial strain and inconvenience.

I am deeply disappointed and would urge Korean Air to adopt a more compassionate approach to dealing with customers facing unforeseen circumstances. A more flexible policy could prevent others from enduring the stress and financial burden I experienced.",July 2024,"November 15, 2024",1.0,3.0,3.0,3.0,1.0,1.0,2.0,1.0,2.0
An excellent travel experience,Seoul,Brisbane,International,"For our trip from Seoul (South Korea)  to Brisbane (Australia), we chose Korean Air, due to its partnership with Etihad Airways where we have premium status.  It was our first time flying with Korean Air, and it was an excellent experience.  We flew Business Class, in a very new Boeing 787-9 Dreamliner. 

The online  booking process on the airline’s website was straightforward, and the online check-in process via the Korean Air app was simple and easy.  Seoul Incheon Airport is a vast complex, and one of the largest and busiest airports in the world.  Korean Air leaves from the newer of the two terminals, Terminal 2.   The terminal was very crowded, with long check-in lines for all flights, including KE407 to Brisbane.  Fortunately Korean Air  has a  large dedicated check-in zone specifically for business class passengers for all their flights; there were no queues, and the check-in process was efficient, professional and speedy.  

As we were travelling business we had access  one of the Korean Air lounges in Terminal 2.  It was extremely busy, and whilst the food and drink offerings were adequate, we did not rate it as highly as other airline lounges we have used.  

Our flight to Brisbane was extremely comfortable.  The Business Class cabin has a 1-2-1 layout.  Whilst individual seats were slightly narrower than the business offering on Etihad Airways  and  ANA All Nippon Airlines, it was still spacious and extremely comfortable.  The screen was a decent size, and the entertainment offerings seemed adequate (I chose to rest).  The flat bed was easy to operate, with ample bedding and pillows for a comfortable rest.  The amenity kit was excellent.  

Service was excellent.  Crew were attentive, professional, and charming.  The selection of food on the dinner service was commendable, with considerable choice and options for different palates.  It was served graciously, and when we wanted to eat. 

The loading of the flight was a bit chaotic, mainly because of people not wanting to wait their turn to board.  The flight departed on time, and arrived into Brisbane on time. 

If the occasion arose, we could certainly choose Korean Air again.",April 2024,"November 9, 2024",5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0
A FANTASTIC EXPERIENCE,Las Vegas,Seoul,International,"Korean Air has spoiled  us. Even in economy class, the seating offered spacious leg room and ample carry on luggage storage. Our ultimate destination was Hong Kong, with a 2 hour lay over in Korea. On both legs of the flights the service was impeccable. Their stewardesses were so professional. They were beautifully uniformed, with perfectly coiffed hair and delicate make up. It was like the old days of the PanAm stewardesses and very unlike the American stewardesses of today, who often look thrown together  , with messy hair, blah uniforms and grumpy faces. The Korean stewardesses  made you feel like you were their welcomed guests. The airline food was 5 star, believe it or not. It was hot, tasty and plentiful!! The airplanes themselves were  clean and refreshing, with the staff always tidying up. In the rear of the plane they offered a snack bar that you could self serve at anytime during the flight. At your seat, to help during your over night flight,  they gave you a toothbrush, toothpaste and slippers. Even on the short 3 hour flight from Korea to Hong Kong, we were give a wonderful warm lunch and the bathroom supplied wrapped toothbrushes, toothpaste and facial spritzes. The airport itself in Korea was cleaner that you could imagine. It probably would have been safe enought to eat off of the floor! LOL. US airlines really need to take notice and step it up. We travel the world frequently, usually using US based airlines. On them, flights are constatly delayed or canceled. We are never made to feel like welcomed guests who have spent their hard earned money to enjoy a vacation which includes air travel. Korean Air ran like clock work on every level of service. Sadly to say, but from now on we make the effort to drive an extra 2 hours  to an international airport, pay for long term parking just to be able to book with foreign airlines who will give you the experience you hoped for and paid for!",November 2024,"November 8, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
KAL usual flight departure delay,Cheongju,Jeju,Domestic,"KAL has been the most important airline in Korea.
But, recently I can guarantee the 30 or 40 minutes departure delay due to connection or cabin check even though the flight is just 1 hour.
Also, they didn’t say nothing about what happened, because the delay is always happening every flight",October 2024,"November 8, 2024",1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0
Stupid always wins! Try and debate your travel paperwork with a Korean employer in English! Good luck.,Seoul,Manila,Southeast Asia,"The worst airline experience I have ever had. Starting with the confused checkin process where they ask you for your boarding pass and can’t understand why you have it electronically. As if we should have guessed that on that specific day the staff wanted only paper. Wtf! 
Then we get refused check in for my father in law because he had special wheelchair service, so instead of processing that we get to wait in another line for that check in. Wtf!!?? Then I’m called up at the gate and questioned about my residency card for the Philippines. The lady doesn’t speak any English or at best a two year old’s comprehension level. Indeed that interaction was a joke as she decided I needed a return ticket and my perfectly valid residency card is not enough. It was weird and frustrating to think that some idiot they hired and put into a role who doesn’t speak any language other than Korean is specifically tasked with the job dealing with non Koreans about the validity of their residencies and passports which are all in English. Wtf!!! 
It took some other lady who could hardly be bothered with this exercise to basically dismiss this person and say I’m ok to fly…she still wouldn’t accept it until three other people told her. It was surreal experience. As a result:
-I will never go to Korea again
-I will never fly on Korean Airlines again
- I will never book anything to do with Korean airlines or any of their services

And as we are sitting here delayed at the gate in our supremely uncomfortable seats, I am thankful that it’s a 4 hour flight and I will never need to deal with Korean airlines again, ever.",November 2024,"November 4, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
flight to Korea,Sydney,Seoul,International,this airline has the best legroom for economy . The staff were exceptional and the airline was so clean  We could not fault this airline,October 2024,"November 4, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
HORRIBLE EXPERIENCE WITH KOREA AIR - Greedy airline that doesn’t take ownership of their mistakes,Tokyo,Los Angeles,International,"My flight was delayed over 30 minutes and it caused me to miss my other flight back to the states which cost me over $1000. I consulted the management and they said there was nothing they could do. I understand that the time in between my flights was shorter however if I landed on time it would’ve been at the airport at 3:35pm and my next flight was at 5:10pm. I made it to the security line at 5:10pm and if I had an extra 35 mins I definitely would’ve made it. I explained that I was right at the airport about to enter at 5:10pm and I missed my flight due to the delay. They continued to move up the chain with communication after I refused to take “sorry there’s nothing we can do” as an answer and eventually they gave me a free night at a hotel which is about $70. The same day flight for my other airline (Japan Airlines) would cost me $3000 usd. Now I have to spend $600 more on a flight and spend even more money due to the fact there was a delay with Korea airline. They said that because of air traffic control that’s the reason why there was a delay. Shouldn’t airlines take ownership of that since they did not get me to my destination on time? Totally unfair, I would’ve made my other flight on time if there was no delay. 

I WILL NEVER FLY KOREA AIR AGAIN.",November 2024,"November 3, 2024",1.0,,,,,,,,
Best Airline,Amsterdam,Seoul,International,"Excellent service from start to finish.  When I checked-in online my son and I were not next to each other.  When I got to the airport, they changed our seats, so we were together.  Leg room was plenty for economy and we also received slippers and toothbush set.  Food was delicious (bibimbap, pizza snack then spicy chicken and rice).  Snacks and drinks were available at the back (self-service).  I also love their uniforms, beautiful light blue with a fancy scarf and hair pin.  Korean Air is definitely my favourite airline.",November 2024,"November 3, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Best airline I've evert flown with,Amsterdam,Seoul,International,"Good good, amazing service. We flew with a 1 year old and our flight attendants helped us out so much. 

They called us when we forgot a piece of luggage and met us outside to give it.

The flight attendants were very friendly and thoughtful.

They really go that extra mile",September 2024,"November 2, 2024",5.0,,,,,,,,
Outdated business class,Seoul,Dubai,International,"Outdated business class. Worst flight in business class I had in years. Old, uncomfortable seats, with 0 privacy. Honestly, a business seat on a modern 737/320 is more comfortable than what Korean are offering on their 777 fleet. Very disappointing, especially on a 10 hour flight.",October 2024,"October 29, 2024",2.0,4.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0
Awful service,Cebu Island,Tampa,International,Korean air from Incheon to Atlanta was delayed 9 hours.  That is not the worst part. Korean air did not bother to change my connecting flight from Atlanta to Tampa.  I complained and it offered an apology.  Fortunately Delta gave me a connecting flight after numerous complaints.  Korean Air is good on board but if anything goes awry with the schedule their good service disappears.  You are safer to go with Detla.,August 2024,"October 28, 2024",1.0,4.0,4.0,4.0,1.0,1.0,4.0,1.0,4.0
Review for 안 혜경 승무원,Washington DC,Seoul,International,"I was flew on September 24th 2024.

Review for 안 혜경 승무원은
Caught the problem and action quickly 주위의 상황을 빨리 파악하고 대응했고
Kind and has a professional manner  예의가 바르고 친절하다.
Service received with timely manner  일 처리를 신속하게하고
Not forgetting the customers request  손님의 요구사항을 잊지않고
Able to solve the problem. Fixed TV screen  문제해결의 능력을 갖추고 있음

She is asset to your company.  안 혜경 승무원은 당신회사에 아주 중요한 직원입니다.

I would strongly recommend to fly by KOREAN AIR. Thank you.",September 2024,"October 22, 2024",5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0
unfair seat selection,New York City,Seoul,International,"if you didn't buy your ticket through the Korean airlines website, you cannot get the seat you want. But they don't tell you that. It is just ridiculous. This airline operates for a small market (people going from/to Korea mainly) so they just do whatever they want to do with the prices and seat selection options.
Not good!!!",October 2024,"October 13, 2024",1.0,,,,,,,,
Korean Airlines- Worst Airline,New York City,Hong Kong,International,"Literally the worst experience I have ever had on an international flight. I have been flying to Asia for business for 30 years- I have flown pretty much any airline you can imagine. Post pandemic most of the US Airlines stopped flying to Asia and instead rely on their co-chairs. While flying business class to Asia is markedly better than economy, as a business traveler certain things are really important. Space & Comfort being the most important. I started my 10 day Asia/3 Country journey at JFK where I was booked on a Delta flight operated by Korean Air. What a disappointment. The cabin was fine if you were on a 5-6 hour flight, it was not fine for a 15 hour flight to ICN and then catching a connection to HKG. These days in international business class all airlines have lay down flat beds and most have little cabins with a nice amount of storage and space, even if seats are right next to each other, the new designs offer an incredible amount of privacy, comfort and space.  Not Korea Air. The seats were horribly uncomfortable. The separation from the seat next to you is a tiny little slide out separation screen that is barely there.  Unless you have a window seat with cabinets, there is zero storage around your seat. For 15 hours you usually have stuff with you- headphones water bottles an extra sweatshirt to deal with the ups and downs of cabin temperature phone phone charger. Well all of that was just rolling around either on top of me or in the little side space next to the console. I can’t count how many times my phone feel in between my seat and the console or how many times things dropped and rolled under my seat or the gentleman next to me. The seat was not soft and cushy and was quite uncomfortable. The privacy was zero. And these are not inexpensive seats. They are highly priced. Korean Air has been a huge disappointment. Now I am sitting on my connection to HKG that was delayed 20 minutes. We board and every 15 minutes the pilot tells us ‘ 15 more minutes’  it’s a late night flight and at this rate we won’t land in HK before midnight. I was told the flight was delayed waiting for connecting passengers. I’m all for being flexible but subjecting an entire flight full of travelers to an hours long delay because Korean Air cannot get their connecting passengers to the flight on time seems to me to be a problem they need to deal with. I’m fine waiting 10-15 minutes. But a full hour!
So a giant ZERO for Korea Air. If you are looking for a high end experience, look elsewhere.",September 2024,"September 18, 2024",1.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,3.0
"Nice flight, overnight in Seoul",New York City,Kuala Lumpur,International,"Had to try the A380 before they all disappear. The IFE a bit old and not too responsive, had to use the remote rather than touch screen. Bibimbap for lunch was great. The meal served at JFK was larger size than that from ICN.

They stopped serving ramen noodles, and one of them refused to provide hot water to DIY noodles. The FA on my section was polite and personable, she made the experience enjoyable, cannot recall her name. On the second leg of flight, another FA thought the kids across from the aisle were related to me, but I had to decline her offer! All good.",August 2024,"September 10, 2024",4.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0
Ignored medical issue,Seoul,Seattle,International,"I was pregnant when I flew and began having sharp, terrible pain in my side. I held it as much as I could because I do not enjoy bringing attention to myself. 

The flight attendants came to check on me and found a doctor on the flight. I don’t think they realized I understood Korean. The doctor said that I was just young and nervous for my baby while flying and that I was just reacting because of that. 

Well I went to the doctor and actually turned out to be a kidney issue and NOT all in my head like they were discussing. I was so upset at how I was treated and how it was handled.",October 2023,"September 7, 2024",1.0,,,,,,,,
