title,departure,destination,type_of_route,review_text,travel_date,review_date,rating,legroom_rating,seat_comfort_rating,entertainment_rating,customer_service_rating,value_rating,cleanliness_rating,check_in_rating,food_rating
Horrible Customer Services,Austin,Ho Chi Minh City,International,Booked the tickets with Japan Airlines with the mileages credited to my One World Account with American Airlines. The itinerary had 3 segments but only 2 segments were credited. American Airlines told me to contact JAL since the tickets are with them. JAL claimed they cannot help even the tickets are with them. The frustrating part was that they kept me on hold for 1 hours 30 min and told me they cannot help. Horrible customer services. Will stay away from them in the future,October 2024,"November 6, 2024",1.0,,,,,,,,
Pleasant Flights For Senior Passengers From Jakarta To San Francisco,Jakarta,San Francisco,International,"My elderly father, my aunt (  my late mother’s sister ) and I departed from Jakarta to San Francisco via Tokyo on 14th May 2024 to visit my sisters and the family in Northern America.

This would be my 7th visit to Northern America.

The last previous visit was in 2010 whereas my first trip with Japan Airlines to Northern America was in 1982.

We took the 6.35 AM flight from Jakarta ( JL720 ) which was approximately on time and arrived safely in Narita Airport at roundabout 4.15 PM ( Tokyo time ).

Transit was less than 2 hours as scheduled and the duration of the JL 58 flight from Tokyo to San Francisco was approximately 10 hours.

The plane from Jakarta to Tokyo was not fully occupied.

In contrast, there was hardly a vacant seat for the Tokyo to San Francisco flight.

One thing I noticed from the flight tracker was that the plane flew directly above the Pacific Ocean from Tokyo to San Francisco whereas in the past, Japan Airlines would fly north to be near the Alaska and Canadian shores. 

That really explained why the flight duration was shorter than in the past which would take between 11 - 12 hours.

Furthermore, both the cabin crew and ground staff were polite and professional in particular by providing excellent wheelchair service for my 84 - year-old father right from the check-in process in Jakarta until arrival in San Francisco International Airport.

Highly recommended for senior passengers for Northern America - bound flight from Jakarta.",May 2024,"November 5, 2024",4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0
They downgraded our booking class last minute & refuse to refund difference,Melbourne,Helsinki,International,"Just flew Japan Airlines from Australia to Europe via Tokyo. Booked Premium Economy seats almost a year in advance - and chose Japan Airlines specifically to secure Premium Economy seats for the long flight. Two weeks before departure, Japan Airlines phoned to advise that the aircraft had been changed and Premium Economy class was no longer available. Options were to make an already long journey longer by adding another stop in Europe in order to fly in Premium Economy or to downgrade to Economy. All arrangements for the trip had obviously been made by this time and we couldn't cancel or change carrier, so we reluctantly had to accept the downgrade. Again, booked 11 months in advance, they advised just 2 weeks from departure, and even had the nerve to suggest that we cancel our tickets outright and re-book, despite the ticket prices being far higher given that it was so close to the departure date.

We were told we would need to wait until the trip had been completed before we could request a refund. We were also told that the refund amount couldn't be confirmed until after the trip. We were provided with no receipts or paperwork related to the new ticket purchase, and as numerous reviewers already note, the website is useless for trying to manage your own booking.

We put in cash bids for upgrades to business on our return flight, having endured the long haul economy on the way over and dreading the return, but bids on both legs of the trip were rejected. Would have been nice if there had been a red flag on our booking to say that JAL had stuffed us around at the last minute and perhaps accepting our bids would go some way towards compensating - we weren't asking for free upgrades.

We get back from the trip after a very long journey in economy class and contact Japan Airlines to arrange the refund as we had been advised then the tickets were downgraded by the JAL phone operator. In short, Japan Airlines has now advised it will not refund any amount, as the economy fare that they booked in downgrading us was the highest cost / fully flexible fare that equated to the cost of the Premium Economy tickets. This was not communicated to us at the time of the downgrade, and we certainly wouldn't have agreed if we had known that the phone operator had discretion in which booking class the downgraded ticket was allocated - how dare you spend our money without permission?

I spent ages on the phone talking with different people, who all advised that there will be no refund and there is no recourse. So we have paid extra for Premium Economy class, paid in full well in advance of our travel dates, to sit in economy, through no fault of our own and with this change being made two weeks before our departure.

This is our money that has been taken under false pretenses! We paid for something we didn't receive. Japan Airlines couldn't care less and has offered nothing. I can't go back in time to check the difference in economy and premium economy classes when I booked, but searching now for a similar time next year shows that premium economy is more than double the price of economy.

We would have expected a refund of maybe ~$1,000-1,200 pp, so $2-2,400 in total! This is completely unacceptable and feels like theft.

Insurance doesn't cover it, because it's the airline's responsibility. Currently checking with my bank if it can help through the lens of products/services paid for and not received. We'll also check with ACCC around consumer guarantees relevant to flights offered by international companies that depart from Australia, but it doesn't look good.

For what it's worth, the on board experience is good but I'll never fly with them again.",September 2024,"November 3, 2024",1.0,4.0,3.0,3.0,3.0,1.0,3.0,2.0,3.0
Dunno why people recommend this airline,Tokyo,Melbourne,International,"Dunno how people rate this airline as good, each flight we did was subpar, service from staff when there's an issue is completely useless",October 2024,"October 21, 2024",1.0,3.0,3.0,3.0,1.0,1.0,4.0,4.0,1.0
BEST 5 HOURS FLIGHT EVER!,Bangkok,Osaka,North Asia,"I flew Japan Airlines From Bangkok to Osaka, and It’s my first time flying full service airlines After stuck flying low cost carriers and from my experience It’s phenomenal. check in process was fast, can’t believe I got nice legroom space on economy, the flight attendants were friendly and polite, as soon I seated seat was actually comfortable and there was pillow and blanket included as well headphones and also the seat has leg rest in flight entertainment, Since it’s the 787 all seat came with dimmable windows, the flight attendant gave everyone a bottle of water to drink and at that time I was thirsty all because the security won’t allow water through, now guess what? Delayed departed from Suvarnabhumi at 1 in the morning, during cruising flight attendants offered me variety choices of drinks of course I choose Apple juice but guess what? Free snacks napkins as well wet wipes, now of course I went to the bathroom and it’s clean speaking of cleanliness seats were a bit exposed but that’s fine the seats still comfortable, the in flight entertainment has a lot of movies and 5 games, 3 hours later the meal was served I got some kind of salmon porridge, a salad, strawberry yogurt, fruits and another salad, then flight attendant offered me the same variety of drinks but I choose orange juice this time but guess what? Silverware in economy, it’s supposed to be plastic but the airline was very nice and gave me Silverware, then I enjoyed the meal after all it’s delicious and tasty, then I watched some movies in the remaining time, then guess what? landed early overall I would recommend this airline since the meal is good, plenty of legroom, great seats and friendly service",October 2024,"October 20, 2024",5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0
Nice Flight...Terrible Website,New York City,Tokyo,International,"In a way JAL reminds me of my entire Japan experience. Great service, nice people, but sub-par websites. Trying to figure things out on their site is a bit of a maze. Forget the app and trying to sign up for their rewards. Otherwise awesome flight great attendants.",December 2023,"October 19, 2024",5.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,4.0
"Great Legroom, Best Flight Experience, On Schedule.",Tokyo,London,International,"Great, maybe BEST flight experience. Always on time or even early. Food is conveniently served 6 hours after takeoff so passengers can get some sleep. Seat had a good amount of recline and the biggest amount of legroom ever. I'm only around 5 foot and i can stretch my legs out in my seat. Flight attendants were very helpful as I have accidentally dropped something into the seat structure whilst I was asleep. Table was averagely large. I haven't used in flight entertainment but it is worth noting that if you are flying from or to Europe you should never pay for the wifi because It wouldn't connect to the satellite. Overall, I would fly Japan Airlines again.",August 2024,"October 18, 2024",4.0,5.0,4.0,4.0,5.0,2.0,5.0,5.0,2.0
Providing misinformation,Toronto,Manila,International,Deceiving baggage information prior and after making payment. Terrible customer service. Agent on line keeps cutting me off. Had me waited too long when asked to transfer the call.,October 2024,"October 18, 2024",1.0,,,,1.0,,,,
Fabulous airline,Sydney,London,International,"Would highly recommend JAl
Service great
Staff wonderful
Inflight service excellent 
Kind friendly helpful staff all the way through 
Go out of their way to help 
Provide assistance for people with mobility issues 
All round service top notch 

Would highly recommend",September 2024,"October 16, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Only if you have to and eat before you get on the plane!!,Tokyo,Sydney,International,"Nice  flight attendants. One of the WORST online experiences I have every had with an airline. The site was totally impossible to figure out and the app never worked for us.
The Premium economy cabin was not worth it and the food was the worst I have ever experienced in the air. We love to travel PE and it is usually worth it but not in this case. Never again",October 2024,"October 15, 2024",2.0,2.0,2.0,2.0,4.0,1.0,3.0,2.0,1.0
~~~~      Pleasant Flight    ~~~`,Los Angeles,Osaka,International,"I am glad I choose Japan Airline from LA to Osaka , on their Business class , about 12 hours none stop  , for  me matter to me most  when I travel long haul flight to Asian ,  I all way travel in Premium Economy or Business class , Cabin Comfort , Professionalism of the crews and on time ,  flight was only delay about half hours , seats spacious and comfortable , not  over crowd  , fight attendant all way have The Can Do Attuite  very  professional   understand English really well  , they all surprised my Japanese not too bad !  excellent  tasty  Western menu , beef is so delicious  , top ingredients and lovely flavors  ,,  must  try their light  meal  snake , Curry Potato is  out of  this world !  I am so relax and  sleep like a baby all most all the way to Osaka !  *** **   P.S  also in Lax  for international flight best arrived airport less 4 to 5 hour , it is busy airport , best come  early morning ,  no long line  up , so peaceful and fast moving for  security  screening    so take  my word  remember Early Bird do gets the worm ! you will get pleasant  happy journey !",October 2024,"October 14, 2024",5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0
Worst experience ever,London,Tokyo,International,Worst company ever. They broke up 2 of 3 suitcases and gave us less than 30 euros. The suitcases costs more t han 150euros. NEVER FLIGHT WITH THEM,October 2024,"October 6, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BIG NO for travel in JAPAN AIRLINES,New Delhi,Tokyo,North Asia,"They are too much into their culture. 
Neither they speak proper English, nor they have any Indian food available (even when the flight departed from Delhi). Not even any bakery item or readymade food or any packed item is available. 
This even applies to non-vegetarians also. 
The worst thing was that they don't converse in English. They speak only Japnese language. 
The inflight entertainment (TV) is also playing japnese items. A very few old english movies. Forget about any hindi / indian movies or shows. 
Being in the Business class, we suffered a lot. I can't imagine the condition of economy class passengers. 

I will highly recommend that, if you are travelling to japan, then please take Indian Airlines. 

COMPLETE NO NO NO to JAPAN Airlines.",July 2024,"October 2, 2024",1.0,4.0,3.0,1.0,2.0,1.0,4.0,5.0,1.0
Excellent customer service,Hong Kong,Tokyo,North Asia,"On 17th Sept, I took the 10:40 JL736 flight from Hong Kong International Airport Tokyo Narita International Airport. I was so impressed by the highly outstanding and professional customer service provided by the team particularly the cabin crews. They were very polite. I can truely feel the sincerity from the cabin crews particularly those I interacted with one-to-one most frequently with including the Cantonese-speaking cabin crew that I also met on my return flight on 24th Sept JL735.

Thank you so much, Japan Airline cabin crew team! 🥰 I wish the team all the best, a fulfilling and happy career life 😃",September 2024,"September 25, 2024",5.0,,,,,,,,
Decent business class flight,London,Tokyo,International,"Flew on JAL’s 777 from Heathrow to Haneda in July 2024. I arrived at the airport and had a bit of a wait until the check desks opened but once they opened check in was quick and I was soon on my way to the lounge.

JAL direct you to the BA lounge in terminal 3 but as they are a oneworld member you can you any of the 4 oneworld lounges including the Cathay which is probably the best and the Qantas lounge which is a close second and the AA lounge which is a distant last if they re open which they all were for my flight which departed at 7.20pm.

My flight left about 20 minutes late but arrived about 10 minutes early which to me is an on tome flight.

The service onboard was fine but like previous JAL flights I don’t think the staff feel that confident when dealing with English speaking passengers but all the staff were great.

The meals were all nice as was the mid-flight ice cream which for a change on a flight wasn’t rock hard.

I am not a huge fan of their business class seat as while it is very private it does lack storage but is comfortable and I did get some sleep on the 13 hour flight.

The IFE when compared to Emirates lacks a lot of choice but was ok but I thought the amenity kit was a bit on the lacking side with no lip balm or moisturizer but it did come with a handy stand for your mobile phone.

Overall an enjoyable and on time flight and I would fly them again plus they have a very generous luggage allowance which is helpful after a few months away.",June 2024,"September 21, 2024",4.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0
Excellent flight experience,Tokyo,Helsinki,International,"I would like to express my sincere gratitude to the JAL’s registration- and flight service team of the flight JL 047 Tokyo Haneda to Helsinki, Finland on 21SEP 2024. To my surprise my seat was upgraded from Economy to Premium Economy just before arrival at the counter desk some minutes before boarding. The flight was smooth and the flight service team did excellent job.",September 2024,"September 21, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Meh,Stockholm,Tokyo,International,"The customer service is trash, like just look at other reviews, and they are right,flight itself was fine i guess, bt next time i think i’ll book ANA instead, overall, basically just like American Airlines but a little bit better",August 2024,"September 14, 2024",3.0,3.0,3.0,4.0,1.0,4.0,5.0,4.0,5.0
"Terrible communication, useless website and loooooong refund waiting times.",Stockholm,Tokyo,International,"Worst air company experience I've ever had in my life. They cancelled my flight and said they would get in contact with me to rearrange the flights, which never happened. When I called back and asked what happened, they said they would return with options, and guess what? That never happened as well.

What happened if that they changed my flight and asked me to accept or decline in their website, which, guess what? Doesn't work. I'm not able to see or manage my bookings. It's like they're stuck on the 90s. The worst air company website I've seen in my life, you can't do anything there except to buy tickets I suppose. 

If you have any problem with your booking, don't expect to be able to solve it through the website. It's useless. 

Want a refund? You'll get it. But take your chair and wait for a good 2-3 months for the money to be back in your account. Don't have money to buy replacement tickets? That's your problem I suppose.

All in all, I haven't even started my trip to Japan and Japan Airlines has managed to make everything stressful and troublesome. Thanks Japan Airlines!",September 2024,"September 13, 2024",1.0,,,,1.0,,,,
Customer Service is 50% of Flying...,Los Angeles,Bangkok,International,"Flights are good.. but the WORST website, app and customer service in the entire travel industry.. and thats really saying something!!! Not remotely possible to find your booking on the app, or online. The chatbot is laughable, customer service not available on weekends (what?). You simply cant access your reservation. Period. We will see if anyone actually answers the phone at any point. Sure, any product is 100%—unless you have a problem.. then you find out what the corporation is really like.",September 2024,"September 8, 2024",1.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0
Poor customer service,Oslo,Tokyo,International,"Had booked a flight to Japan with transfer in Finland. In Finland the flight got cancelled, and we sat there waiting for six hours before we got the final call about the flight being cancelled. They mainly gave the messages in Japanese, and didn’t seem to care too much about notifying the other passengers in English. They also gave snacks and drinks to everyone else waiting but not to us (probably because we were not Japanese). Our trip was delayed two days, but they gave us accommodation and 20euros for food those days. On the plane they could also have been better at bringing drinks during a 14 hour flight, in this time we only got offered drinks about two times other than when we got food. Other airlines are a lot better at this.
The worst part of this whole case is the requesting of compensation. Since we are under the passengers rights regulated by EC261/04 we are eligible for compensation for this two days delay. You cannot reach them by email, you have to call. They will make you wait for hours(!!!) before they pick up the phone. And their phone line is terrible so you can’t even hear what they say, this combined with poorly English makes this whole situation quite frustrating. It’s doesn’t even seem like they know the rules so they keep putting you on hold, declining our rights or avoid giving answers. I’ve never experienced this poor service. It’s probably a good airline when everything’s goes according to plan and when you don’t have to reach them though.",July 2024,"September 6, 2024",1.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0
Japan Airlines (JAL) customer service number +1-800-580-3770,Atlanta,Newark,Domestic,"I had a fantastic experience flying with Japan Airlines (JAL) The staff were courteous, the seats were comfortable, and the in-flight service was exceptional. For any assistance, you can reach their toll-free number at +1-800-580-3770 or visit their office Tokyo. Highly recommend Japan Airlines for a pleasant journey!",September 2024,"September 5, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Best flight!,Kuala Lumpur,Tokyo,North Asia,"The best flight I ever had! The seat was comfortable, food was decent, the flight attendants are friendly!! The aircraft was very clean. great airline.",February 2024,"September 4, 2024",5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0
Find another airline to fly!,Boston,Tokyo,International,"I am deeply unsatisfied with the service provided to me by JAL for a flight change. My family has been faithfully flying JAL since the late 80's and have ALWAYS used JAL for trips to Japan to see family. In the future this will not be the case. We intend to fly on one of their competitors that also offer non stop flights and far more reasonable pricing and that does not charge exorbitant  prices for a change in  flight plans. The cost quoted to me to change the FIRST LEG of my round trip airfare is more than the original round trip airfare. This makes no sense, the flight I wanted to change to has many empty seats and will most likely have empty seats when it departs. JAL needs to examine the level of service it is providing. It would be cheaper for me to walk away from my original booking and book a new round trip travel.  Additionally my daughter and wife recently traveled to Japan and the food they were served on that flight was abysmal. JAL had been riding on old positive reviews and ratings from its customers. The JAL of today is NOT the JAL of previous times!!

And one other thing, the website and the App are both absolutely abysmal. Neither of them perform well and the website does not allow you to search fir a round trip airfare now.",September 2024,"September 1, 2024",1.0,,,,,,,,
Choose other airlines if you could,Hakodate,Tokyo,Domestic,"They scratched my luggage really bad, with two big dents. When I talked to their CS at the airport, they just showed the careless attitude by pointing to a board and told me that’s a SMALL scratch. They never say a sorry to me in the whole conversation. Unbelievable careless.",August 2024,"August 27, 2024",1.0,,,,,,,,
The worst flight experience from JAL,Tokyo,Hong Kong,Asia,"This is the second time I flown on jal, last time was from HK to Narita, this time my flight wasn't delayed just an hour, by a freaking ine and half hour, I am writing this review on ground, as I can't get on plane yet, but I hope it is the same experience as last time , which was amazing! Only 2 stars thi, still bad duh, when I'm home, it's gonna be 12 am or 1 am",August 2024,"August 27, 2024",2.0,4.0,3.0,3.0,5.0,5.0,5.0,3.0,5.0
Not a baby friendly flight,Singapore,Tokyo,North Asia,"If you are travelling with a baby , avoid JAL at all costs. Unlike other airlines, JAL has this bizarre practice of allowing only one adult per baby to sit at bassinet seats. This means you will be separated from the rest of the family on the plane and have to sit alone with the baby. Call centres or service counter refused to let my mother sit next to me to help me with the baby. I had two empty bassinet seats next to me and still they refused to let my mother sit next to me to help me. Also for some bizarre reason I was not able to book the bassinet seats when I purchased the tickets so had to rely on call centre and service counter. Do not trust the message on their website that says priority will be given to passenger with baby. They literally mean ""passenger"" in the singular form.",August 2024,"August 26, 2024",1.0,,,,,,,,
Now I see why JAL is almost always at the top of the pecking order for inflight service!,New York City,Tokyo,International,Japan Airlines inflight service stands head and shoulders above any U.S. based carrier. We had problems with my inflight display and the flight attendants went out of their way to fix the issue! They were also extremely apologetic. The seat is amazing (3K) and the interior noise level was very low. You didn't have to yell to be heard.,August 2024,"August 25, 2024",5.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0
Amazing experience!,Singapore,Tokyo,North Asia,I love how they gave a menu for food and how tasty the food was. The drinks were really good too. I like how they have the latest movies and shows for entertainment.,September 2023,"August 24, 2024",5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Customer service made me miss my flight,Tokyo,Los Angeles,International,"I was so excited about my next trip to visit Japan and this made me dread ever coming back to the country. I arrived 4 hours early as I had a medical letter to get an upgrade. 4 hours later, I had no upgrade, missed my flight and they want me to pay for changing my flight. They need to fix their customer service. I got bounced around to so many agents only to be told there is nothing to be done and I missed my flight. Worst flying experience in my life.",August 2024,"August 24, 2024",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Never again.,New York City,Manila,International,Im never flying Japan Airlines again. My new york to tokyo flight was torture with American Airlines (operated by JAL). No headphones for entertainment for 13 hr flight. Food was so so bad. Now they’re telling me my flight from tokyo to manila that my assigned seat doesnt have entertainment. A total of 18hrs flying time staring at nothing.,August 2024,"August 6, 2024",1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0
